"stock","stock_id","common_name","scientific_name","survey_method","abundance_units","year","abundance","abundance_low","abundance_hi","us_region","area","area_code","sub_area","parent_stock_id","source_type","catg1","catg2"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","1991",1800,658,6152,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","1993",2025,759,6658,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","1996",2007,835,5975,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","2001",1801,709,6025,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","2005",2026,795,6354,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","2008",2496,1038,7772,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Bayesian analysis","Total number","2014",2697,1013,9215,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Other model","Total number","1996",739,265,2064,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Other model","Total number","2001",730,270,1976,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Other model","Total number","2005",590,169,2057,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
"Baird's beaked whale - California/Oregon/Washington","BABEWHALE-CA/OR/WA","Baird's beaked whale","Berardius bairdii","Other model","Total number","2008",681,225,2065,"West Coast","California/Oregon/Washington","CA/OR/WA",NA,NA,"actual","Cetaceans","Small whales"
