"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_1",0.0632869304747513,0.000651255046828056,0.0172559818971196,0.0286651373184475,0.0515889508023667,0.0637116608684677,0.0759185709230381,0.095581397162531,702.064719650599,1.00309729248409
"k_1",14786.1094137749,801.563882003317,14298.6137084579,11500.9775824251,11627.8129334909,11831.8917151567,12346.6388272437,44728.7148836301,318.208361259031,1.0105591609701
"P_initial_1",0.297827713015453,0.00266350609383947,0.0582134960320007,0.0997271148417864,0.279100817725115,0.303633914539546,0.329515652299009,0.382523214213251,477.683207193237,1.0055506526311
"sigma_sq_1",0.061331221487373,0.000419018388845334,0.0157364882205183,0.0378940307403002,0.0500583518037625,0.0588985235311477,0.0702707257423297,0.0978964605799737,1410.42330940569,1.00071338423581
"sigma_1",0.245737669722454,0.000807006822228944,0.0307319911585813,0.19466389142005,0.22373723808473,0.242690179990958,0.26508626094559,0.312884090507247,1450.19694812985,1.00086313440608
"N_med[1]",3783.5547915172,16.1740833777768,493.508936291949,2965.79650182703,3421.99776480697,3734.06210478806,4102.96447190321,4873.64346488343,931.002156847533,1.00244934218367
"N_med[2]",3874.87279599221,14.7672099670797,465.064331772747,3097.46020060035,3534.70702279518,3833.57346834824,4172.82519503813,4900.17807540344,991.811558167033,1.00232146332126
"N_med[3]",4072.35171801531,13.2700004123724,436.224168638499,3332.95259987211,3758.85961771077,4034.46817907434,4357.3992993136,5027.21438231449,1080.63137967248,1.00214154569638
"N_med[4]",4300.10952687501,11.6200638776174,406.579633966227,3599.80277809159,4012.95809663981,4265.28840477247,4563.75178300846,5178.85168574332,1224.2615506195,1.00188614644519
"N_med[5]",4542.1933031414,9.85528293709181,377.371900427067,3880.95836770492,4278.05401705621,4513.62772679454,4787.13705631935,5347.61751027947,1466.2260249666,1.00153098759534
"N_med[6]",4797.69208248667,8.05289113370125,350.874365125279,4166.6982890015,4554.00167687724,4773.64482452072,5018.38254406209,5540.01275503618,1898.45201200927,1.00106321749898
"N_med[7]",5051.46252290064,6.45539842732621,330.351799989925,4436.94533723639,4822.61400402746,5036.13758341295,5265.38589934761,5734.2256358469,2618.82965906902,1.0005135059608
"N_med[8]",5323.57883029952,5.39763551354648,319.909330674338,4730.01002396795,5102.36277987316,5313.00977868051,5530.65033397433,6003.37386711685,3512.74565432827,0.999998595278766
"N_med[9]",5610.68874766701,5.36560989222367,323.21089268832,5010.5818709171,5388.48536258419,5596.43148898997,5815.09384543547,6289.16405399658,3628.55566092792,0.999700992371542
"N_med[10]",5906.99790122455,6.53541815252231,342.100832110099,5272.03634899759,5675.66108749483,5888.98918006357,6119.53733225938,6615.71709203239,2740.06901054023,0.999734825856177
"N_med[11]",6211.22033817623,8.42237490234652,375.677778288025,5511.01014749169,5955.60428674941,6185.10042757985,6450.08748575108,6979.46354689017,1989.5821482005,1.00003935232018
"N_med[12]",6522.74274645811,10.7294212858356,420.878682358124,5760.8559437197,6235.41503807132,6492.77688192089,6789.75179872374,7385.40437547113,1538.72589417954,1.00045981402034
"N_med[13]",6837.64311330848,13.2941715262993,473.774317365917,5986.28047929797,6510.94591270613,6798.62524588309,7146.67780015233,7806.86421312135,1270.04898945292,1.00087466664307
"N_med[14]",7152.68103164003,15.8744086436959,530.498352619792,6196.18998245932,6772.9889441279,7113.61421989913,7506.9595335208,8236.54827553811,1116.79373123172,1.00122880242241
"N_med[15]",7470.41198737988,18.3617292588011,587.606316883908,6412.00282493597,7048.28920583261,7435.53402777042,7874.14035667233,8668.37482683479,1024.10798606107,1.00150995571692
"N_med[16]",7785.2553091601,20.6642032982148,642.050471621271,6635.04701210305,7321.50199703063,7748.67772498568,8236.1158435776,9067.2608240418,965.386023414912,1.00172362319056
"N_med[17]",8094.59410266456,22.7049747968541,691.312269868906,6830.49151085132,7587.93400552737,8063.76741200065,8597.60970588774,9447.03175635662,927.057094698758,1.00188017802264
"N_med[18]",8395.91766738456,24.4211690813917,733.391519702297,7036.34600927462,7858.19803603128,8367.43215186517,8931.65395746452,9790.00436723377,901.859463258424,1.00198986349131
"N_med[19]",8686.9449999914,25.7655406608165,766.837169605647,7234.13671519551,8130.21478357694,8664.91155842115,9256.96932560808,10108.7902383397,885.783917638329,1.0020613902474
"N_med[20]",8965.72922620446,26.7499381668952,790.762464238279,7436.68026555531,8396.58141715949,8961.57862060018,9559.87167197964,10387.5487847649,873.869390398371,1.00210175594309
"N_med[21]",9230.73073037057,27.3146840563452,804.829624990542,7627.54052868702,8659.43170153629,9246.7147654209,9841.04771902981,10637.4387116649,868.191530755019,1.00211633362512
"N_med[22]",9480.85283432987,27.4629934264876,809.201321065715,7813.29348851438,8918.19089643702,9510.69706518931,10100.5282889465,10850.9691493837,868.19527975827,1.00210891089437
"N_med[23]",9712.44068553964,27.2077066295289,804.467104221348,8019.85503932634,9163.71011704016,9762.57538082916,10329.356607606,11023.7736030773,874.244094928107,1.00208161676442
"N_med[24]",9931.47140321589,26.5763074232227,791.703806355832,8219.52585676064,9404.8553739402,9999.05837078173,10535.2883094285,11182.8524081417,887.43425432656,1.00203502051376
"N_med[25]",10134.8292805267,25.5906532070788,771.939298542757,8414.52849362435,9633.96370361425,10214.4566328455,10721.4707225088,11322.2949673245,909.920729037331,1.00196721332802
"N_med[26]",10322.9159797699,24.2838706760161,746.564477387349,8629.11905237166,9854.90186706636,10417.2556352893,10881.4103768152,11463.8254894487,945.145825984487,1.00187449240626
"N_med[27]",10496.359222713,22.6913574050094,717.127689064338,8815.47584692688,10064.28671739,10600.2710384432,11023.6580700431,11573.0312090544,998.785043207524,1.00175125084046
"N_med[28]",10655.948489819,20.8364223195783,685.317517012971,8994.45162845426,10255.4907697998,10769.7192005576,11152.34156501,11700.4197119153,1081.77605183236,1.00159067666313
"N_med[29]",10801.5779433769,18.7808154269884,652.965538731772,9191.2230640703,10435.2274394828,10920.1712246412,11264.7009677027,11802.1947736307,1208.79215693247,1.00138648054362
"N_med[30]",10935.3066733881,16.5893882377355,622.100141992298,9379.80262267468,10598.9088105854,11045.3843062719,11358.1724298348,11923.9643850512,1406.24133367758,1.00113653292324
"N_med[31]",11058.096163311,14.2997159305965,594.833120560899,9579.21070762718,10745.8975526391,11159.0696798799,11431.9499749244,12034.4183468541,1730.35600398478,1.00084790929918
"N_med[32]",11171.8963285022,12.110441878229,573.366110098248,9759.8007624258,10883.0180734835,11257.8729694991,11498.2726294769,12184.5264000185,2241.52744006552,1.00054353172009
"MNPL",8871.82645110593,480.947046420689,8579.32372627131,6900.71162562066,6976.81421562805,7099.2637040381,7408.11756930096,26837.7153667535,318.20836125903,1.0105591609701
"Abundance_pred[1]",3870.59121942115,23.1479967596021,1110.06023612956,2167.23574139138,3074.9037165338,3727.38545428466,4455.40672740135,6470.83309128157,2299.67395180548,1.00088210050137
