reference,country,area,species,stock_id,survey_method,abundance_units,year,abundance,abundance_low,abundance_hi,source_type (digitize/actual),ref_link,citation,notes
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Species distribution model,Total Numbers,2002,15198,10900,21191,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Species distribution model,Total Numbers,2010,15343,11039,21326,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Species distribution model,Total Numbers,2017,12607,8826,18008,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Line-transect,Total Numbers,2002,11566,6054,22908,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Line-transect,Total Numbers,2010,17583,8014,38576,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2020)",USA,Hawaii,Short-finned pilot whale,SFPIWHALE-HI,Line-transect,Total Numbers,2017,7956,2720,23268,actual,https://media.fisheries.noaa.gov/2021-08/2020-Pacific-SARS-ShortFinPWHI.pdf,,
"(NOAA Fisheries, 2021)",USA,California,Long-beaked common dolphin,LBCODOLPHIN-CA,Line-transect,Total Numbers,1991,23739,4472,122477,digitized,https://media.fisheries.noaa.gov/2022-08/2021-LONG-BEAKED%20COMMON%20DOLPHIN-California%20Stock.pdf,,
"(NOAA Fisheries, 2021)",USA,California,Long-beaked common dolphin,LBCODOLPHIN-CA,Line-transect,Total Numbers,1993,12729,2408,75000,digitized,https://media.fisheries.noaa.gov/2022-08/2021-LONG-BEAKED%20COMMON%20DOLPHIN-California%20Stock.pdf,,
"(NOAA Fisheries, 2021)",USA,California,Long-beaked common dolphin,LBCODOLPHIN-CA,Line-transect,Total Numbers,1996,70183,19266,-,digitized,https://media.fisheries.noaa.gov/2022-08/2021-LONG-BEAKED%20COMMON%20DOLPHIN-California%20Stock.pdf,,
"(NOAA Fisheries, 2021)",USA,California,Long-beaked common dolphin,LBCODOLPHIN-CA,Line-transect,Total Numbers,2001,34060,5849,-,digitized,https://media.fisheries.noaa.gov/2022-08/2021-LONG-BEAKED%20COMMON%20DOLPHIN-California%20Stock.pdf,,
