stock,stock_id,species_id,common_name,scientific_name,U.S. region,area,area_code,sub_area,parent_stock_id,catg1,catg2,notes
Blue whale - Eastern North Pacific,BLWHALE-ENPACIFIC,BLWHALE,Blue whale,Balaenoptera musculus,West Coast,Eastern North Pacific,ENPACIFIC,-,-,Cetaceans,Large whales,
Blue whale - Central North Pacific,BLWHALE-CNPACIFIC,BLWHALE,Blue whale,Balaenoptera musculus,Pacific Islands,Central North Pacific,CNPACIFIC,-,-,Cetaceans,Large whales,
Blue whale - Western North Atlantic,BLWHALE-WNATLANTIC,BLWHALE,Blue whale,Balaenoptera musculus,New England/Mid-Atlantic,Western North Atlantic,WNATLANTIC,-,-,Cetaceans,Large whales,
Bowhead whale - Western Arctic,BOWHALE-WARCTC,BOWHALE,Bowhead whale,Balaena mysticetus,Alaska,Western Arctic,WARCTIC,-,-,Cetaceans,Large whales,
Bryde's whale - Eastern Tropical Pacific,BRWHALE-ETPACIFIC,BRWHALE,Bryde's whale,Balaenoptera brydei,-,Eastern Tropical Pacific,ETPACIFIC,-,-,Cetaceans,Large whales,
Bryde's whale - Hawaii,BRWHALE-HI,BRWHALE,Bryde's whale,Balaenoptera brydei,Pacific Islands,Hawaii,HI,-,-,Cetaceans,Large whales,
Bryde's whale - Northern Gulf of Mexico,BRWHALE-NGUMEXICO,BRWHALE,Bryde's whale,Balaenoptera brydei,Southeast,Northern Gulf of Mexico,NGUMEXICO,-,-,Cetaceans,Large whales,
Fin whale - California/Oregon/Washington,FIWHALE-CA/OR/WA,FIWHALE,Fin whale,Balaenoptera physalus velifera,West Coast,California/Oregon/Washington,CA/OR/WA,-,-,Cetaceans,Large whales,
Fin whale - Hawaii,FIWHALE-HI,FIWHALE,Fin whale,Balaenoptera physalus velifera,Pacific Islands,Hawaii,HI,-,-,Cetaceans,Large whales,
Fin whale - Northeast Pacific ,FIWHALE-NEPACIFIC,FIWHALE,Fin whale,Balaenoptera physalus velifera,Alaska,Northeast Pacific,NEPACIFIC,-,-,Cetaceans,Large whales,
Fin whale - Western North Atlantic,FIWHALE-WNATLANTIC,FIWHALE,Fin whale,Balaenoptera physalus velifera,New England/Mid-Atlantic,Western North Atlantic,WNATLANTIC,-,-,Cetaceans,Large whales,
Gray whale - Eastern North Pacific,GRWHALE-ENPACIFIC,GRWHALE,Gray whale,Eschrichtius robustus,"West Coast, Alaska",Eastern North Pacific,ENPACIFIC,-,-,Cetaceans,Large whales,
Gray whale - Western North Pacific,GRWHALE-WNPACIFIC,GRWHALE,Gray whale,Eschrichtius robustus,-,Western North Pacific,WNPACIFIC,-,-,Cetaceans,Large whales,
Humpback whale - American Samoa,HUWHALE-AS,HUWHALE,Humpback whale,Megaptera novaeangliae,Pacific Islands,American Samoa,AS,-,-,Cetaceans,Large whales,
Humpback whale - California/Oregon/Washington,HUWHALE-CA/OR/WA,HUWHALE,Humpback whale,Megaptera novaeangliae,West Coast,California/Oregon/Washington,CA/OR/WA,-,-,Cetaceans,Large whales,
Humpback whale - Central America/Southern Mexico,HUWHALE-CAMERICA/NMEXICO,HUWHALE,Humpback whale,Megaptera novaeangliae,-,Central America/Northern Mexico,CAMERICA/NMEXICO,-,-,Cetaceans,Large whales,
Hunpback whale - Central North Pacific,HUWHALE-CNPACIFIC,HUWHALE,Humpback whale,Megaptera novaeangliae,Alaska,Central North Pacific,CNPACIFIC,-,-,Cetaceans,Large whales,
Humpback whale - Gulf of Maine,HUWHALE-GUMAINE,HUWHALE,Humpback whale,Megaptera novaeangliae,New England/Mid-Atlantic,Gulf of Maine,GUMAINE,-,-,Cetaceans,Large whales,
Humpback whale - Hawaii,HUWHALE-HI,HUWHALE,Humpback whale,Megaptera novaeangliae,Pacific Islands,Hawaii,HI,-,-,Cetaceans,Large whales,
Humpback whale - Mainland Mexico,HUWHALE-MEXICO,HUWHALE,Humpback whale,Megaptera novaeangliae,-,Mexico,MEXICO,-,-,Cetaceans,Large whales,
Humpback whale - Mexico North Pacific,HUWHALE-MEXICONPACIFIC,HUWHALE,Humpback whale,Megaptera novaeangliae,-,Mexico North Pacific,MEXICONPACIFIC,-,-,Cetaceans,Large whales,
Humpback whale - Western North Pacific,HUWHALE-WNPACIFIC,HUWHALE,Humpback whale,Megaptera novaeangliae,-,Western North Pacific,WNPACIFIC,-,-,Cetaceans,Large whales,
Minke whale - Alaska,MIWHALE-AK,MIWHALE,Minke whale,Balaenoptera acutorostrata,Alaska,Alaska,AK,-,-,Cetaceans,Large whales,
Minke whale - Canadian Eastern Coastal,MIWHALE-CANADAECOAST,MIWHALE,Minke whale,Balaenoptera acutorostrata,-,Canadian Eastern Coast,CANADAECOAST,-,-,Cetaceans,Large whales,
Minke whale - California/Oregon/Washington,MIWHALE-CA/OR/WA,MIWHALE,Minke whale,Balaenoptera acutorostrata,West Coast,California/Oregon/Washington,CA/OR/WA,-,-,Cetaceans,Large whales,
Minke whale - Hawaii,MIWHALE-HI,MIWHALE,Minke whale,Balaenoptera acutorostrata,Pacific Islands,Hawaii,HI,-,-,Cetaceans,Large whales,
Rice's whale - Northern Gulf of Mexico,RCWHALE-NGUMEXICO,RCWHALE,Rice's whale,Balaenoptera ricei,Southeast,Northern Gulf of Mexico,NGUMEXICO,-,-,Cetaceans,Large whales,
Right whale - Eastern North Pacific,RTWHALE-ENPACIFIC,RTWHALE,Right whale,Eubalaena japonica,Alaska,Eastern North Pacific,ENPACIFIC,-,-,Cetaceans,Large whales,
Right whale - Western North Atlantic,RTWHALE-WNATLANTIC,RTWHALE,Right whale,Eubalaena japonica,"New England/Mid-Atlantic, Southeast",Western North Atlantic,WNATLANTIC,-,-,Cetaceans,Large whales,
Sei whale - Eastern North Pacific,SEWHALE-ENPACIFIC,SEWHALE,Sei whale,Balaenoptera borealis borealis,West Coast,Eastern North Pacific,ENPACIFIC,-,-,Cetaceans,Large whales,
Sei whale - Hawaii,SEWHALE-HI,SEWHALE,Sei whale,Balaenoptera borealis borealis,Pacific Islands,Hawaii,HI,-,-,Cetaceans,Large whales,
Sei whale - Nova Scotia,SEWHALE-NOVASCOTIA,SEWHALE,Sei whale,Balaenoptera borealis borealis,-,Nova Scotia,NOVASCOTIA,-,-,Cetaceans,Large whales,
